Scenario,Pattern,Strength_pct,Algorithm,R_task_Mean,R_task_Std,R_time_Mean,R_time_Std,CRI_Mean,CRI_Std,throughputRecovery_Mean,throughputRecovery_Std,feasibilityRate_Mean,feasibilityRate_Std,completionRate_Mean,completionRate_Std,failedRate_Mean,failedRate_Std,meanCompletionTime_Mean,meanCompletionTime_Std
small,directed,40,Hungarian (Ours),0.6257,0.0495,0.991,0.0284,0.8084,0.0294,1,0,0.5638,0.0427,0.5638,0.0427,0.4363,0.0427,154.7512,7.9584
large,random,20,RRAM,0.3856,0.0693,0.2896,0.2986,0.3376,0.1352,0.4172,0.2709,0.3908,0.0599,0.3908,0.0599,0.6092,0.0599,140.1738,11.6641
large,random,20,BDTR,0.7364,0.0184,0.0828,0.0636,0.4096,0.0334,0.1879,0.1123,0.6683,0.0235,0.6683,0.0235,0.3317,0.0235,172.3415,2.6364
large,random,20,SROM,0.7555,0.0134,0.1014,0.0983,0.4285,0.0496,0.1748,0.0998,0.6683,0.0166,0.6683,0.0166,0.3317,0.0166,169.9096,2.5703
large,random,20,Hungarian (Ours),0.6647,0.02,0.9625,0.1186,0.8136,0.0631,1,0,0.6592,0.0206,0.6592,0.0206,0.3408,0.0206,134.2361,3.839
large,random,30,RRAM,0.4142,0.0592,0.0905,0.1109,0.2523,0.0427,0.3296,0.0972,0.415,0.0463,0.415,0.0463,0.585,0.0463,144.6471,6.5206
large,random,30,BDTR,0.7017,0.0341,0.0223,0.0384,0.362,0.0237,0.2103,0.1116,0.6542,0.0312,0.6542,0.0312,0.3458,0.0312,169.1817,6.0132
large,random,30,SROM,0.7281,0.0411,0.0198,0.0276,0.374,0.0253,0.1871,0.0498,0.6642,0.0242,0.6642,0.0242,0.3358,0.0242,170.4929,2.381
large,random,30,Hungarian (Ours),0.6624,0.0188,1,0,0.8312,0.0094,1,0,0.6558,0.0302,0.6558,0.0302,0.3442,0.0302,134.4605,3.0099
large,random,40,RRAM,0.3914,0.07,0.1196,0.1073,0.2555,0.0385,0.3097,0.0934,0.3992,0.0727,0.3992,0.0727,0.6008,0.0727,142.8099,13.4029
large,random,40,BDTR,0.6557,0.0372,0.0128,0.0251,0.3342,0.023,0.2069,0.099,0.6283,0.0261,0.6283,0.0261,0.3717,0.0261,167.5464,5.8837
large,random,40,SROM,0.6841,0.0307,0.0303,0.0413,0.3572,0.0245,0.1563,0.0805,0.6292,0.0292,0.6292,0.0292,0.3708,0.0292,165.8332,7.016
large,random,40,Hungarian (Ours),0.6577,0.0276,0.875,0.2081,0.7663,0.1089,1,0,0.6567,0.0238,0.6567,0.0238,0.3433,0.0238,134.6164,3.2824
large,balanced,20,RRAM,0.3496,0.0638,0.4521,0.3172,0.4008,0.1512,0.479,0.2825,0.3583,0.0527,0.3583,0.0527,0.6417,0.0527,132.7842,7.7153
large,balanced,20,BDTR,0.6995,0.0344,0.0804,0.1279,0.39,0.071,0.0934,0.0592,0.6333,0.0275,0.6333,0.0275,0.3667,0.0275,169.6679,2.3243
large,balanced,20,SROM,0.7218,0.0346,0.042,0.0455,0.3819,0.0287,0.1049,0.0722,0.6392,0.0283,0.6392,0.0283,0.3608,0.0283,168.0285,2.9187
large,balanced,20,Hungarian (Ours),0.6267,0.0371,0.9077,0.1945,0.7672,0.1078,1,0,0.6317,0.0319,0.6317,0.0319,0.3683,0.0319,132.3744,2.5807
large,balanced,30,RRAM,0.3601,0.0428,0.1815,0.1112,0.2708,0.0442,0.2286,0.0781,0.3725,0.0383,0.3725,0.0383,0.6275,0.0383,137.8207,9.4798
large,balanced,30,BDTR,0.6901,0.0346,0.0182,0.0457,0.3542,0.0271,0.1557,0.0684,0.625,0.0204,0.625,0.0204,0.375,0.0204,168.3065,3.1625
large,balanced,30,SROM,0.7097,0.0408,0.0291,0.0674,0.3694,0.0321,0.1188,0.1094,0.6333,0.0269,0.6333,0.0269,0.3667,0.0269,166.7446,5.5857
large,balanced,30,Hungarian (Ours),0.6444,0.0329,0.9528,0.0905,0.7986,0.0577,1,0,0.6417,0.0278,0.6417,0.0278,0.3583,0.0278,133.5172,3.3599
large,balanced,40,RRAM,0.3555,0.0348,0.1262,0.1188,0.2409,0.0492,0.2238,0.1198,0.3767,0.0355,0.3767,0.0355,0.6233,0.0355,144.5609,8.5481
large,balanced,40,BDTR,0.6484,0.0372,0.0011,0.0036,0.3248,0.0179,0.1641,0.0958,0.6033,0.0294,0.6033,0.0294,0.3967,0.0294,165.1817,6.5079
large,balanced,40,SROM,0.6715,0.0397,0.0074,0.0234,0.3394,0.0217,0.1183,0.0972,0.6108,0.0267,0.6108,0.0267,0.3892,0.0267,164.4658,3.918
large,balanced,40,Hungarian (Ours),0.6424,0.0303,0.8794,0.1459,0.7609,0.078,1,0,0.6367,0.0246,0.6367,0.0246,0.3633,0.0246,133.9705,4.0318
large,directed,20,RRAM,0.3558,0.0338,0.2538,0.15,0.3048,0.066,0.4174,0.2023,0.36,0.0285,0.36,0.0285,0.64,0.0285,135.2855,5.3538
large,directed,20,BDTR,0.7223,0.0231,0.0459,0.0744,0.3841,0.0427,0.0887,0.079,0.6542,0.0216,0.6542,0.0216,0.3458,0.0216,168.0738,4.2737
large,directed,20,SROM,0.7463,0.017,0.0305,0.0641,0.3884,0.0344,0.079,0.0678,0.6642,0.0157,0.6642,0.0157,0.3358,0.0157,167.9852,3.48
large,directed,20,Hungarian (Ours),0.6572,0.0076,0.9675,0.1026,0.8124,0.0526,1,0,0.6533,0.009,0.6533,0.009,0.3467,0.009,133.0802,1.1949
large,directed,30,RRAM,0.3172,0.0418,0.1679,0.2007,0.2426,0.1025,0.1679,0.1461,0.3242,0.0361,0.3242,0.0361,0.6758,0.0361,127.7318,8.3155
large,directed,30,BDTR,0.6713,0.0218,0,0,0.3356,0.0109,0.0554,0.0553,0.635,0.0183,0.635,0.0183,0.365,0.0183,163.4028,3.4473
large,directed,30,SROM,0.6933,0.02,0.0065,0.0205,0.3499,0.017,0.0247,0.033,0.6383,0.0163,0.6383,0.0163,0.3617,0.0163,162.6041,3.543
large,directed,30,Hungarian (Ours),0.631,0.0174,0.8631,0.241,0.747,0.126,1,0,0.6267,0.0192,0.6267,0.0192,0.3733,0.0192,128.7192,2.6914
large,directed,40,RRAM,0.2712,0.0244,0.1177,0.1743,0.1944,0.0955,0.0462,0.0617,0.2833,0.0245,0.2833,0.0245,0.7167,0.0245,118.3784,6.5278
large,directed,40,BDTR,0.6108,0.0239,0.0321,0.0512,0.3214,0.0279,0.0503,0.0377,0.5883,0.0193,0.5883,0.0193,0.4117,0.0193,155.5149,4.043
large,directed,40,SROM,0.644,0.011,0.0489,0.0755,0.3464,0.0364,0.0281,0.0303,0.5975,0.0104,0.5975,0.0104,0.4025,0.0104,156.7845,1.6495
large,directed,40,Hungarian (Ours),0.5983,0.0116,0.7637,0.2264,0.681,0.1121,1,0,0.5908,0.01,0.5908,0.01,0.4092,0.01,123.1926,3.5782
