Scenario,Pattern,Strength_pct,Algorithm,R_task_Mean,R_task_Std,R_time_Mean,R_time_Std,CRI_Mean,CRI_Std,throughputRecovery_Mean,throughputRecovery_Std,feasibilityRate_Mean,feasibilityRate_Std,completionRate_Mean,completionRate_Std,failedRate_Mean,failedRate_Std,meanCompletionTime_Mean,meanCompletionTime_Std
large,balanced,20,Hungarian (Ours),0.6181,0.0418,0.6698,0.1086,0.6439,0.0589,0.3325,0.1429,0.6317,0.0319,0.6317,0.0319,0.3683,0.0319,132.3744,2.5807
large,balanced,20,SABR,0.7182,0.0429,0.6928,0.1446,0.7055,0.0652,0.4322,0.126,0.725,0.0383,0.725,0.0383,0.275,0.0383,146.0653,3.2732
large,balanced,30,RRAM,0.3569,0.043,0.4968,0.0573,0.4269,0.0424,0.1963,0.0795,0.3725,0.0383,0.3725,0.0383,0.6275,0.0383,137.8207,9.4798
large,balanced,30,BDTR,0.683,0.033,0.6167,0.0569,0.6498,0.0265,0.1233,0.0479,0.625,0.0204,0.625,0.0204,0.375,0.0204,168.3065,3.1625
large,balanced,30,SROM,0.5963,0.0665,0.6167,0.0569,0.6065,0.0359,0.0308,0.0294,0.5133,0.0472,0.5133,0.0472,0.4867,0.0472,148.2353,4.3668
large,balanced,30,Hungarian (Ours),0.6299,0.0328,0.6167,0.0569,0.6233,0.0305,0.291,0.1755,0.6417,0.0278,0.6417,0.0278,0.3583,0.0278,133.5172,3.3599
large,balanced,30,SABR,0.731,0.032,0.6167,0.0569,0.6738,0.0237,0.4012,0.1105,0.7342,0.0259,0.7342,0.0259,0.2658,0.0259,148.2077,4.3142
large,balanced,40,RRAM,0.3507,0.0362,0.477,0.0613,0.4138,0.0398,0.1855,0.1075,0.3767,0.0355,0.3767,0.0355,0.6233,0.0355,144.5609,8.5481
large,balanced,40,BDTR,0.6433,0.0336,0.5596,0.0505,0.6014,0.0229,0.1436,0.0816,0.6033,0.0294,0.6033,0.0294,0.3967,0.0294,165.1817,6.5079
large,balanced,40,SROM,0.4851,0.0624,0.5596,0.0505,0.5224,0.0286,0.011,0.0151,0.4192,0.0471,0.4192,0.0471,0.5808,0.0471,129.3719,5.8736
large,balanced,40,Hungarian (Ours),0.623,0.0289,0.5596,0.0505,0.5913,0.0285,0.3036,0.0962,0.6367,0.0246,0.6367,0.0246,0.3633,0.0246,133.9705,4.0318
large,balanced,40,SABR,0.7263,0.0405,0.5596,0.0505,0.6429,0.0204,0.4686,0.1703,0.7342,0.0357,0.7342,0.0357,0.2658,0.0357,149.5279,6.8212
large,directed,20,RRAM,0.3546,0.0333,0.5642,0.0852,0.4594,0.0559,0.3425,0.1407,0.36,0.0285,0.36,0.0285,0.64,0.0285,135.2855,5.3538
large,directed,20,BDTR,0.7205,0.0225,0.6269,0.0606,0.6737,0.0322,0.0799,0.0667,0.6542,0.0216,0.6542,0.0216,0.3458,0.0216,168.0738,4.2737
large,directed,20,SROM,0.6618,0.0457,0.6269,0.0606,0.6443,0.039,0.0597,0.0709,0.5758,0.0363,0.5758,0.0363,0.4242,0.0363,160.4457,4.3658
